nodes;ntasks;ntasks-per-node;partition;elapsed1;elapsed2;elapsed3
4;8;24;bt-mz.D.8;00:02:25;00:02:24;00:02:25
4;12;16;bt-mz.D.12;00:01:52;00:01:52;00:01:52
4;16;12;bt-mz.D.16;00:01:51;00:01:50;00:01:50
4;24;8;bt-mz.D.24;00:01:39;00:01:39;00:01:39
4;32;6;bt-mz.D.32;00:01:46;00:01:45;00:01:45
4;48;4;bt-mz.D.48;00:01:39;00:01:38;00:01:38
4;96;2;bt-mz.D.96;00:01:37;00:01:37;00:01:37
4;19;1;bt-mz.D.192;00:01:40;00:01:40;00:01:39
6;12;24;bt-mz.D.12;00:01:37;00:01:36;00:01:37
6;18;16;bt-mz.D.18;00:01:17;00:01:17;00:01:17
6;24;12;bt-mz.D.24;00:01:16;00:01:16;00:01:16
6;36;8;bt-mz.D.36;00:01:07;00:01:09;00:01:07
6;48;6;bt-mz.D.48;00:01:13;00:01:13;00:01:12
6;72;4;bt-mz.D.72;00:01:07;00:01:06;00:01:06
6;144;2;bt-mz.D.144;00:01:08;00:01:09;00:01:07
6;288;1;bt-mz.D.288;00:01:10;00:01:09;00:01:09
8;16;24;bt-mz.D.16;00:01:13;00:01:13;00:01:13
8;24;16;bt-mz.D.24;00:00:57;00:00:59;00:01:00
8;32;12;bt-mz.D.32;00:00:57;00:00:56;00:00:56
8;48;8;bt-mz.D.48;00:00:51;00:00:51;00:00:51
8;64;6;bt-mz.D.64;00:00:56;00:00:55;00:00:54
8;96;4;bt-mz.D.96;00:00:50;00:00:51;00:00:51
8;192;2;bt-mz.D.192;00:00:53;00:00:52;00:00:51
8;384;1;bt-mz.D.384;00:01:10;00:01:10;00:01:10
