nodes;ntasks;ntasks-per-node;partition;elapsed1;elapsed2;elapsed3
4;8;24;sp-mz.D.8;00:01:29;00:01:30;00:01:30
4;12;16;sp-mz.D.12;00:01:22;00:01:20;00:01:22
4;16;12;sp-mz.D.16;00:01:06;00:01:07;00:01:08
4;24;8;sp-mz.D.24;00:00:59;00:00:57;00:00:57
4;32;6;sp-mz.D.32;00:00:58;00:00:58;00:00:59
4;48;4;sp-mz.D.48;00:00:54;00:00:55;00:00:55
4;96;2;sp-mz.D.96;00:00:59;00:00:59;00:00:59
4;19;1;sp-mz.D.192;00:01:17;00:01:17;00:01:15
6;12;24;sp-mz.D.12;00:01:00;00:01:01;00:01:01
6;18;16;sp-mz.D.18;00:00:57;00:00:57;00:00:56
6;24;12;sp-mz.D.24;00:00:45;00:00:45;00:00:45
6;36;8;sp-mz.D.36;00:00:41;00:00:41;00:00:40
6;48;6;sp-mz.D.48;00:00:42;00:00:42;00:00:40
6;72;4;sp-mz.D.72;00:00:38;00:00:40;00:00:39
6;144;2;sp-mz.D.144;00:00:43;00:00:43;00:00:44
6;288;1;sp-mz.D.288;00:00:54;00:00:54;00:00:52
8;16;24;sp-mz.D.16;00:00:47;00:00:48;00:00:47
8;24;16;sp-mz.D.24;00:00:41;00:00:41;00:00:42
8;32;12;sp-mz.D.32;00:00:35;00:00:35;00:00:36
8;48;8;sp-mz.D.48;00:00:31;00:00:33;00:00:31
8;64;6;sp-mz.D.64;00:00:30;00:00:29;00:00:30
8;96;4;sp-mz.D.96;00:00:28;00:00:28;00:00:28
8;192;2;sp-mz.D.192;00:00:33;00:00:35;00:00:34
8;384;1;sp-mz.D.384;00:00:42;00:00:43;00:00:43
